expropriation  /လက္မဲ့ျဖစ္ေစျခင္း/သိမ္းယူျခင္း
expulsion  /ႏွင္ထုတ္ျခင္း
expulsions  /ႏွင္ထုတ္ျခင္းမ်ား
expunge  /ဖ်က္ပစ္သည္/ႏႈတ္ပယ္ပစ္သည္
expurgate  /စာအုပ္မွမေလ်ာ္မသင့္သည့္ စာပိုဒ္မ်ားကို ထုတ္ပယ္ပစ္သည္
expurgation  /စာအုပ္မွမေလ်ာ္မသင့္သည့္စာပိုဒ္မ်ားကို ထုတ္ပယ္ပစ္ျခင္း
exquisite  /ထက္ျမက္ေသာ/သိမ္ေမြ႕ေသာ/အထူးေကာင္းမြန္ေသာ/အသည္းအသန္ခံစားရေသာ
exquisitely  /ထက္ထက္ျမက္ျမက္/သိမ္ေမြ႕လ်က္/အထူးေကာင္းေကာင္းမြန္မြန္/အသည္းအသန္ခံစားလ်က္
extant  /တည္ရိွဆဲျဖစ္ေသာ/မေပ်ာက္မပ်က္ရိွေနေသးေသာ
extemporaneous  /လက္တန္းေျပာရေသာ
extempore  /လက္တန္းေျပာဆိုလ်က္/လက္တန္းေျပာဆိုေသာ/ႀကိဳတင္ေတြးေခၚျပင္ဆင္မႈမရိွဘဲ/ႀကိဳတင္ေတြးေခၚျပင္ဆင္မႈမရိွဘဲ ျပဳလုပ္ေသာ
extemporize  /လက္တန္းေျပာသည္
extend  /ခ်ဲ့
extended  /ခ်ဲ့ခဲ့/ခ်ဲ့ခဲ့ၿပီး
extending  /ခ်ဲ့ေန
extends  /ခ်ဲ့
extensive  /က်ယ္ျပန္႕
extensively  /က်ယ္ေျပာစြာ/က်ယ္ျပန္႕စြာ
extents  /ပမာဏမ်ား
extenuate  /အျပစ္ေပါ့ေစသည္
﻿extenuation  /အျပစ္ေပါ့ျခင္း
exterior  /အျပင္အပ/အျပင္အပျဖစ္ေသာ
exterminate  /အဆံုးသတ္ေစသည္/အျမစ္ျပတ္သုတ္သင္သည္
extermination  /အဆံုးသတ္ျခင္း/အျမစ္ျပတ္သုတ္သင္ျခင္း
external  /တိုင္းတာ
externally  /ျပင္ပမွ/ျပင္ပ၌
extinction  /မျိုးသုဉ်းခြင်း/မ်ိဳးတုနး္ျခင္း/သက္ဝင္လႈပ္ရွားျခင္းမရိွျခင္း
extinguish  /ကြယ္ေပ်ာက္ေစသည္/မီးၿငိမ္းသတ္သည္/ေမွ်ာ္လင့္ခ်က္၊ခ်စ္ေတၱာ စသည္တို႕အဆံုးသတ္ေစသည္
extirpate  /ပေပ်ာက္ေစသည္/ဖယ္ရွား သုတ္သင္သည္
extol  /အလြန္အမင္းခ်ီးက်ဴးသည္
